id,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,instant_bookable,room_type,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bedrooms
34006460,t,t,t,Woollahra,f,Private room,1,1,-33.87802,151.2478,2,1
10418933,f,t,t,Waverley,t,Entire home/apt,1,1,-33.88748,151.27774,2,1
21569903,f,t,f,Botany Bay,t,Private room,1,1,-33.95368,151.20595,2,1
29688410,f,t,f,Woollahra,t,Hotel room,14,14,-33.84247,151.28298,2,1
5981263,f,t,t,Leichhardt,f,Private room,1,1,-33.87971,151.1694,2,1
20984336,f,t,t,Bankstown,t,Private room,4,4,-33.91839,151.03417,2,1
37260366,f,t,t,Warringah,f,Entire home/apt,0,0,-33.78458,151.27288,2,1
20623658,f,t,t,Woollahra,f,Entire home/apt,115,115,-33.87342,151.24617,8,4
29084097,f,t,t,Pittwater,f,Entire home/apt,1,1,-33.65546,151.30988,13,4
5708006,f,t,f,Mosman,f,Entire home/apt,1,1,-33.83059,151.24072,2,1
40761334,f,t,f,Sydney,t,Entire home/apt,0,0,-33.89932,151.21116,4,2
25536996,f,t,t,Holroyd,f,Entire home/apt,7,7,-33.78835,150.94855,7,3
4607361,f,t,t,Waverley,f,Entire home/apt,1,1,-33.903,151.24817,4,2
21111163,f,t,t,Waverley,f,Entire home/apt,1,1,-33.88344,151.27536,7,3
27933504,f,t,f,Marrickville,f,Entire home/apt,1,1,-33.91892,151.15542,4,2
2068981,f,t,f,Woollahra,f,Entire home/apt,1,1,-33.88788,151.26312,2,1
6020522,t,t,t,Warringah,f,Private room,5,5,-33.75698,151.25949,2,1
43490712,f,t,t,The Hills Shire,t,Private room,1,1,-33.73968,151.00466,2,1
30890680,f,t,t,Sydney,t,Entire home/apt,1,1,-33.87878,151.21161,2,1
18843931,f,t,f,Sydney,t,Entire home/apt,4,4,-33.87105,151.22339,2,1
701670,t,t,t,Sutherland Shire,f,Entire home/apt,2,2,-34.04222,151.06819,2,1
35240864,t,t,t,North Sydney,f,Entire home/apt,2,2,-33.84823,151.21818,2,1
9636056,f,t,t,Sydney,f,Private room,1,1,-33.89743,151.21012,2,1
44935188,f,t,t,City Of Kogarah,f,Private room,0,0,-33.97043,151.12618,1,1
21253481,f,t,t,Lane Cove,t,Entire home/apt,4,4,-33.80635,151.15825,5,2
7962273,f,t,f,Manly,f,Entire home/apt,1,1,-33.78608,151.28341,7,4
8391032,f,t,f,Manly,f,Entire home/apt,1,1,-33.79866,151.287,4,2
43605563,f,t,t,Waverley,f,Private room,2,2,-33.8951,151.27354,2,1
40657766,f,t,t,City Of Kogarah,f,Entire home/apt,28,28,-33.9669,151.10072,6,2
